   count file@project
       5 pwcat@gawk-5.3.0
       8 grcat@gawk-5.3.0
      13 libcharset.so.1.0.0@libiconv-1.17
      15 libstdbuf.so@coreutils-9.4
      26 fnmatch.so@gawk-5.3.0
      27 intdiv.so@gawk-5.3.0
      29 time.so@gawk-5.3.0
      29 inplace.so@gawk-5.3.0
      29 revoutput.so@gawk-5.3.0
      30 ordchr.so@gawk-5.3.0
      39 libdep.so@binutils-2.42
      40 gsl-histogram@gsl-2.7.1
      42 fork.so@gawk-5.3.0
      43 gsl-randist@gsl-2.7.1
      43 nettle-lfib-stream@nettle-3.9.1
      44 readdir.so@gawk-5.3.0
      49 readfile.so@gawk-5.3.0
      51 revtwoway.so@gawk-5.3.0
      68 libgp-collectorAPI.so@binutils-2.42
      79 libgp-heap.so@binutils-2.42
     105 nettle-pbkdf2@nettle-3.9.1
     128 rwarray.so@gawk-5.3.0
     142 hersheydemo@plotutils-2.6
     153 libgp-sync.so@binutils-2.42
     170 glpsol@glpk-5.0
     182 nettle-hash@nettle-3.9.1
     194 filefuncs.so@gawk-5.3.0
     229 plotfont@plotutils-2.6
     255 dap@dap-3.10
     284 tek2plot@plotutils-2.6
     316 plot@plotutils-2.6
     317 true@coreutils-9.4
     317 false@coreutils-9.4
     322 echo@coreutils-9.4
     364 printenv@coreutils-9.4
     365 tty@coreutils-9.4
     370 uname@coreutils-9.4
     372 whoami@coreutils-9.4
     372 link@coreutils-9.4
     372 unlink@coreutils-9.4
     372 logname@coreutils-9.4
     372 hostid@coreutils-9.4
     376 runcon@coreutils-9.4
     377 sync@coreutils-9.4
     382 dirname@coreutils-9.4
     383 spell@spell-1.1
     383 yes@coreutils-9.4
     383 nice@coreutils-9.4
     383 daprun@dap-3.10
     393 pathchk@coreutils-9.4
     394 basename@coreutils-9.4
     396 kill@coreutils-9.4
     396 paste@coreutils-9.4
     397 mkfifo@coreutils-9.4
     398 groups@coreutils-9.4
     398 truncate@coreutils-9.4
     405 dapruns@dap-3.10
     407 nproc@coreutils-9.4
     408 nohup@coreutils-9.4
     409 fold@coreutils-9.4
     412 mknod@coreutils-9.4
     421 sleep@coreutils-9.4
     427 mktemp@coreutils-9.4
     428 expand@coreutils-9.4
     429 unexpand@coreutils-9.4
     438 users@coreutils-9.4
     440 pwd@coreutils-9.4
     443 chroot@coreutils-9.4
     443 tsort@coreutils-9.4
     444 cat@coreutils-9.4
     449 cut@coreutils-9.4
     450 test@coreutils-9.4
     450 id@coreutils-9.4
     454 base32@coreutils-9.4
     454 comm@coreutils-9.4
     455 rmdir@coreutils-9.4
     462 base64@coreutils-9.4
     462 env@coreutils-9.4
     467 timeout@coreutils-9.4
     469 tee@coreutils-9.4
     470 md5sum@coreutils-9.4
     473 sha1sum@coreutils-9.4
     474 printf@coreutils-9.4
     477 seq@coreutils-9.4
     480 uniq@coreutils-9.4
     483 [@coreutils-9.4
     486 pinky@coreutils-9.4
     486 sha384sum@coreutils-9.4
     487 fmt@coreutils-9.4
     488 sha512sum@coreutils-9.4
     488 sha256sum@coreutils-9.4
     488 txt2gcal@gcal-4.1
     489 sha224sum@coreutils-9.4
     490 gcal2txt@gcal-4.1
     494 head@coreutils-9.4
     498 stdbuf@coreutils-9.4
     516 asn1Parser@libtasn1-4.19.0
     521 b2sum@coreutils-9.4
     529 dircolors@coreutils-9.4
     529 sum@coreutils-9.4
     541 mkdir@coreutils-9.4
     542 tr@coreutils-9.4
     546 tcal@gcal-4.1
     556 uptime@coreutils-9.4
     557 who@coreutils-9.4
     562 asn1Coding@libtasn1-4.19.0
     576 join@coreutils-9.4
     579 stty@coreutils-9.4
     580 libgp-iotrace.so@binutils-2.42
     586 wc@coreutils-9.4
     590 readlink@coreutils-9.4
     592 basenc@coreutils-9.4
     604 numfmt@coreutils-9.4
     620 realpath@coreutils-9.4
     624 double@plotutils-2.6
     632 split@coreutils-9.4
     655 time@time-1.9
     669 shred@coreutils-9.4
     673 od@coreutils-9.4
     742 dd@coreutils-9.4
     744 macchanger@macchanger-1.6.0
     752 touch@coreutils-9.4
     756 pr@coreutils-9.4
     759 shuf@coreutils-9.4
     776 date@coreutils-9.4
     796 asn1Decoding@libtasn1-4.19.0
     798 chmod@coreutils-9.4
     814 graph@plotutils-2.6
     826 ln@coreutils-9.4
     831 stat@coreutils-9.4
     851 chcon@coreutils-9.4
     862 chgrp@coreutils-9.4
     868 chown@coreutils-9.4
     875 cksum@coreutils-9.4
     884 spline@plotutils-2.6
     884 tail@coreutils-9.4
     891 rm@coreutils-9.4
     917 which@which-2.21
     920 mkafmmap@enscript-1.6.6
     925 libgnudos.so.1.0.9@gnudos-1.11.4
     927 sexp-conv@nettle-3.9.1
     981 iconv@libiconv-1.17
    1020 df@coreutils-9.4
    1048 ccd2cue@ccd2cue-0.5
    1158 wdiff@wdiff-1.2.2
    1229 nl@coreutils-9.4
    1233 tac@coreutils-9.4
    1277 cp@coreutils-9.4
    1288 gdbm-dump@gdbm-1.23
    1311 factor@coreutils-9.4
    1325 ptx@coreutils-9.4
    1352 gdbm-load@gdbm-1.23
    1357 sort@coreutils-9.4
    1386 elfedit@binutils-2.42
