   count project
     383 spell-1.1
     655 time-1.9
     744 macchanger-1.6.0
     917 which-2.21
    1048 ccd2cue-0.5
    1158 wdiff-1.2.2
    1257 nettle-3.9.1
    1852 bool-0.2.2
    2311 cppi-1.18
    2323 hello-2.12.1
    3075 libtool-2.4.7
    3180 dap-3.10
    3301 gss-1.0.4
    4570 gzip-1.13
    4703 units-2.23
    5535 libtasn1-4.19.0
    6426 libidn-2.3.7
    7511 enscript-1.6.6
    8589 gnudos-1.11.4
    9585 libmicrohttpd-1.0.1
   10402 cflow-1.7
   10711 gsasl-2.2.1
   10811 patch-2.7.6
   10889 datamash-1.8
   11393 libiconv-1.17
   11675 gawk-5.3.0
   11808 sed-4.9
   13436 direvent-5.3
   14272 cpio-2.15
   14651 gdbm-1.23
   15680 libunistring-1.2
   15766 grep-3.11
   17063 gnu-pw-mgr-2.7.4
   18366 osip-5.3.1
   19517 plotutils-2.6
   19633 tar-1.35
   19776 lightning-2.2.3
   21082 gcal-4.1
   23103 readline-8.2
   25280 gmp-6.3.0
   29215 sharutils-4.15.2
   35483 findutils-4.9.0
   47508 glpk-5.0
   68795 coreutils-9.4
   81311 inetutils-2.5
   86632 xorriso-1.5.6
  104813 recutils-1.9
  233489 gsl-2.7.1
  855754 binutils-2.42
